"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"bamf.de","bamf.de","http://www.bamf.de","","Bundesamt für Migration und Flüchtlinge","","No","dotgov","No","No","No","","","","","","No"
"bankenunion.de","bankenunion.de","http://bankenunion.de","","Bundesministerium der Finanzen","","Yes","dotgov","No","No","No","","","","","","No"
"banst-pt.de","banst-pt.de","https://www.banst-pt.de","","Bundesanstalt für Post und Telekommunikation","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"banu.bund.de","banu.bund.de","https://www.banu.bund.de","","Informationstechnikzentrum Bund","","No","dotgov","No","Yes","No","","","","","","No"
"bast.de","bast.de","https://www.bast.de","","Bundesanstalt für Straßenwesen","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"baua.de","baua.de","https://www.baua.de","","Bundesanstalt für Arbeitsschutz und Arbeitsmedizin","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bauminister.de","bauminister.de","http://bauminister.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bav.bund.de","bav.bund.de","https://www.bav.bund.de","","Bundesanstalt für Verwaltungsdienstleistungen","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"baw.de","baw.de","https://www.baw.de","","Bundesanstalt für Wasserbau","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bbk.bund.de","bbk.bund.de","https://www.bbk.bund.de","","Bundesamt für Bevölkerungsschutz und Katastrophenhilfe","","No","dotgov","No","Yes","No","","","","","","No"
"bbr.bund.de","bbr.bund.de","https://www.bbr.bund.de","","Bundesamt für Bauwesen und Raumordnung","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bdbos.bund.de","bdbos.bund.de","https://www.bdbos.bund.de","","Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben","","No","dotgov","No","Yes","No","","","","","","No"
"behindern-ist-heilbar.de","behindern-ist-heilbar.de","http://behindern-ist-heilbar.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"beirat-raumentwicklung.de","beirat-raumentwicklung.de","http://beirat-raumentwicklung.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bescha.bund.de","bescha.bund.de","http://www.bescha.bund.de","","Beschaffungsamt des Bundesministeriums des Innern","","No","dotgov","No","No","No","","","","","","No"
"beschaeftigtebeteiligen.de","beschaeftigtebeteiligen.de","http://beschaeftigtebeteiligen.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"bev.bund.de","bev.bund.de","https://www.bev.bund.de","","Bundeseisenbahnvermögen","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bevoelkerungsschutz.de","bevoelkerungsschutz.de","http://bevoelkerungsschutz.de","","Bundesamt für Bevölkerungsschutz und Katastrophenhilfe","","Yes","dotgov","No","No","No","","","","","","No"
"bezuegerechner.bva.bund.de","bezuegerechner.bva.bund.de","https://bezuegerechner.bva.bund.de","","Bundesverwaltungsamt","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bfarm.de","bfarm.de","https://www.bfarm.de","","Bundesinstitut für Arzneimittel und Medizinprodukte","","No","dotgov","No","Yes","No","","","","","","No"
"bfb-bund.de","bfb-bund.de","http://bfb-bund.de","","Bundesmonopolverwaltung für Branntwein","","No","dotgov","No","No","No","","","","","","No"
"bfdi.bund.de","bfdi.bund.de","https://www.bfdi.bund.de","","Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit","","No","dotgov","No","Yes","No","","","","","","No"
"bfe.bund.de","bfe.bund.de","https://www.bfe.bund.de","","Bundesamt für kerntechnische Entsorgungssicherheit","","No","dotgov","No","Yes","No","","","","","","No"
"bfn.de","bfn.de","https://www.bfn.de","","Bundesamt für Naturschutz","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bfr.bund.de","bfr.bund.de","https://www.bfr.bund.de","","Bundesinstitut für Risikobewertung","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bfs.de","bfs.de","http://www.bfs.de","","Bundesamt für Strahlenschutz","","No","dotgov","No","No","No","","","","","","No"
"bfu-web.de","bfu-web.de","https://www.bfu-web.de","","Bundesstelle für Flugunfalluntersuchung","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bgr.bund.de","bgr.bund.de","https://www.bgr.bund.de","","Bundesanstalt für Geowissenschaften und Rohstoffe","","No","dotgov","No","Yes","No","","","","","","No"
"bib.bund.de","bib.bund.de","https://www.bib.bund.de","","Bundesinstitut für Bevölkerungsforschung","","No","dotgov","No","Yes","No","","","","","","No"
"bibb.de","bibb.de","https://www.bibb.de","","Bundesinstitut für Berufsbildung","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bildungskredit.de","bildungskredit.de","http://bildungskredit.de","","Bundesverwaltungsamt","","Yes","dotgov","No","No","No","","","","","","No"
"bildungskredit.online","bildungskredit.online","http://bildungskredit.online","","Bundesverwaltungsamt","","Yes","dotgov","No","No","No","","","","","","No"
"bildungszentrum.bundeswehr.de","bildungszentrum.bundeswehr.de","http://www.bildungszentrum.bundeswehr.de","","Bildungszentrum der Bundeswehr","","No","dotgov","No","No","No","","","","","","No"
"bisp.de","bisp.de","https://www.bisp.de","","Bundesinstitut für Sportwissenschaft","","No","dotgov","No","Yes","No","","","","","","No"
"bit.bund.de","bit.bund.de","http://bit.bund.de","","Informationstechnikzentrum Bund","","No","dotgov","No","No","No","","","","","","No"
"bitv-lotse.bund.de","bitv-lotse.bund.de","http://bitv-lotse.bund.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"bitvlotse.de","bitvlotse.de","http://bitvlotse.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"bka-bund.de","bka-bund.de","http://bka-bund.de","","Bundeskriminalamt","","Yes","dotgov","No","No","No","","","","","","No"
"bka.de","bka.de","https://www.bka.de","","Bundeskriminalamt","","No","dotgov","No","Yes","No","","","","","","No"
"bkg.bund.de","bkg.bund.de","https://www.bkg.bund.de","","Bundesamt für Kartographie und Geodäsie","","No","dotgov","No","No","No","","","","","","No"
"bkge.de","bkge.de","https://www.bkge.de","","Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa","","No","dotgov","No","Yes","No","No","Yes","Yes","No","No","No"
"ble.de","ble.de","https://www.ble.de","","Bundesanstalt für Landwirtschaft und Ernährung","","No","dotgov","No","Yes","No","","","","","","No"
"blickpunkt-bundestag.de","blickpunkt-bundestag.de","http://blickpunkt-bundestag.de","","Bundestag","","Yes","dotgov","No","No","No","","","","","","No"
"bma.de","bma.de","http://bma.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"bmas.de","bmas.de","https://www.bmas.de","","Bundesministerium für Arbeit und Soziales","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bmas.eu","bmas.eu","http://bmas.eu","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"bmbf.de","bmbf.de","https://www.bmbf.de","","Bundesministerium für Bildung und Forschung","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bmel.de","bmel.de","https://www.bmel.de","","Bundesministerium für Ernährung und Landwirtschaft","","No","dotgov","No","Yes","No","","","","","","No"
"bmfsfj.de","bmfsfj.de","https://www.bmfsfj.de","","Bundesministerium für Familie, Senioren, Frauen und Jugend","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bmg.bund.de","bmg.bund.de","http://bmg.bund.de","","Bundesministerium für Gesundheit","","No","dotgov","No","No","Yes","Yes","No","No","No","No","Ready"
"bmi.bund.de","bmi.bund.de","https://www.bmi.bund.de","","Bundesministerium des Innern, für Bau und Heimat","","No","dotgov","No","Yes","No","","","","","","No"
"bmjv.de","bmjv.de","https://www.bmjv.de","","Bundesministerium der Justiz und für Verbraucherschutz","","No","dotgov","No","Yes","No","","","","","","No"
"bmu.bund.de","bmu.bund.de","http://www.bmu.bund.de","","Bundesministerium für Umwelt, Naturschutz und nukleare Sicherheit","","Yes","dotgov","No","No","No","","","","","","No"
"bmvbs.de","bmvbs.de","http://bmvbs.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bmvg.de","bmvg.de","https://www.bmvg.de","","Bundesministerium der Verteidigung","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bmvi.de","bmvi.de","https://www.bmvi.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bmvi.eu","bmvi.eu","http://bmvi.eu","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bmvi.info","bmvi.info","http://bmvi.info","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bmvi.net","bmvi.net","http://bmvi.net","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bmvi.org","bmvi.org","http://bmvi.org","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bmwi.de","bmwi.de","https://www.bmwi.de","","Bundesministerium für Wirtschaft und Energie","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bmz.de","bmz.de","http://www.bmz.de","","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung","","No","dotgov","No","No","No","","","","","","No"
"bnd.de","bnd.de","http://bnd.de","","Bundesnachrichtendienst","","Yes","dotgov","No","No","No","","","","","","No"
"bpatg.de","bpatg.de","http://www.bpatg.de","","Bundespatentgericht","","Yes","dotgov","No","No","No","","","","","","No"
