"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"alsbach-haehnlein.de","alsbach-haehnlein.de","https://www.alsbach-haehnlein.de","","Alsbach-Hähnlein","HE","No","dotgov","No","Yes","No","No","Yes","No","No","Yes","No"
"alsdorf.de","alsdorf.de","http://alsdorf.de","","Alsdorf","NW","No","dotgov","No","No","No","","","","","","No"
"alsenz-obermoschel.de","alsenz-obermoschel.de","http://www.alsenz-obermoschel.de","","Niederhausen an der Appel","RP","No","dotgov","No","No","No","","","","","","No"
"alsenz.de","alsenz.de","http://www.alsenz.de","","Alsenz","RP","No","dotgov","No","No","No","","","","","","No"
"alsfeld.de","alsfeld.de","https://www.alsfeld.de","","Alsfeld","HE","No","dotgov","No","Yes","No","No","Yes","Yes","No","No","No"
"alsheim.de","alsheim.de","https://alsheim.de","","Alsheim","RP","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"alsleben-saale-online.de","alsleben-saale-online.de","https://alsleben-saale-online.de","","Alsleben (Saale)","ST","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"alt-bennebek.de","alt-bennebek.de","http://alt-bennebek.de","","Alt Bennebek","SH","Yes","dotgov","No","No","No","","","","","","No"
"alt-duvenstedt.de","alt-duvenstedt.de","http://www.alt-duvenstedt.de","","Alt Duvenstedt","SH","No","dotgov","No","No","No","","","","","","No"
"alt-moelln.de","alt-moelln.de","http://alt-moelln.de","","Alt Mölln","SH","Yes","dotgov","No","No","No","","","","","","No"
"altbach.de","altbach.de","https://www.altbach.de","","Altbach","BW","No","dotgov","No","Yes","No","","","","","","No"
"altdorf-bb.de","altdorf-bb.de","http://altdorf-bb.de","","Altdorf","BW","Yes","dotgov","No","No","No","","","","","","No"
"altdorf-es.de","altdorf-es.de","https://altdorf-es.de","","Altdorf","BW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"altdorf-pfalz.de","altdorf-pfalz.de","http://www.altdorf-pfalz.de","","Altdorf (Pfalz)","RP","No","dotgov","No","No","No","","","","","","No"
"altdorf.de","altdorf.de","https://www.altdorf.de","","Altdorf bei Nürnberg","BY","No","dotgov","No","Yes","No","","","","","","No"
"altefaehr.de","altefaehr.de","http://www.altefaehr.de","","Altefähr","MV","No","dotgov","No","No","No","","","","","","No"
"alteglofsheim.de","alteglofsheim.de","http://alteglofsheim.de","","Alteglofsheim","BY","No","dotgov","No","No","No","","","","","","No"
"altenahr-ahr.de","altenahr-ahr.de","https://www.altenahr-ahr.de","","Altenahr","RP","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"altenahr.de","altenahr.de","https://www.altenahr.de","","Kalenborn","RP","No","dotgov","No","Yes","No","","","","","","No"
"altenbeken.de","altenbeken.de","http://altenbeken.de","","Altenbeken","NW","No","dotgov","No","No","No","","","","","","No"
"altenberg.de","altenberg.de","https://www.altenberg.de","","Altenberg","SN","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"altenberge.de","altenberge.de","http://altenberge.de","","Altenberge","NW","No","dotgov","No","No","No","","","","","","No"
"altenbeuthen.de","altenbeuthen.de","http://altenbeuthen.de","","Altenbeuthen","TH","No","dotgov","No","No","No","","","","","","No"
"altenbuch.de","altenbuch.de","https://www.altenbuch.de","","Altenbuch","BY","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"altenburg.eu","altenburg.eu","https://www.altenburg.eu","","Altenburg","TH","No","dotgov","No","No","No","","","","","","No"
"altendiez.de","altendiez.de","http://altendiez.de","","Altendiez","RP","No","dotgov","No","No","No","","","","","","No"
"altendorf-gemeinde.de","altendorf-gemeinde.de","http://altendorf-gemeinde.de","","Altendorf","BY","No","dotgov","No","No","No","","","","","","No"
"altenfeld-thueringen.de","altenfeld-thueringen.de","https://www.altenfeld-thueringen.de","","Altenfeld","TH","No","dotgov","No","Yes","No","","","","","","No"
"altenglan.de","altenglan.de","http://altenglan.de","","Elzweiler","RP","Yes","dotgov","No","No","No","","","","","","No"
"altengottern-thueringen.de","altengottern-thueringen.de","http://www.altengottern-thueringen.de","","Altengottern","TH","No","dotgov","No","No","No","","","","","","No"
"altenholz.de","altenholz.de","http://altenholz.de","","Altenholz","SH","No","dotgov","No","No","No","","","","","","No"
