"Domain","URL","Branch","Agency","State","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"ottobeuren.de","http://ottobeuren.de","","Ottobeuren","BY","No","No","","","",""
"bruchhausen-vilsen.de","http://bruchhausen-vilsen.de","","Bruchhausen-Vilsen","NI","No","No","","","",""
"morschen.de","http://morschen.de","","Morschen","HE","No","No","","","",""
"luenebach.info","http://www.luenebach.info","","Lünebach","RP","No","No","","","",""
"weissenfels.de","http://www.weissenfels.de","","Weißenfels","ST","No","No","","","",""
"nittel-mosel.de","http://www.nittel-mosel.de","","Nittel","RP","No","No","","","",""
"flacht-aar.de","http://flacht-aar.de","","Flacht","RP","No","No","","","",""
"gleiszellen-gleishorbach.de","http://www.gleiszellen-gleishorbach.de","","Gleiszellen-Gleishorbach","RP","No","No","","","",""
"markt-schirnding.de","http://markt-schirnding.de","","Schirnding","BY","No","No","","","",""
"handeloh.de","http://www.handeloh.de","","Handeloh","NI","No","No","","","",""
"breitenheim.de","http://breitenheim.de","","Breitenheim","RP","No","No","","","",""
"altersbach.net","http://altersbach.net","","Altersbach","TH","No","No","","","",""
"saffig.de","http://saffig.de","","Saffig","RP","No","No","","","",""
"treis-karden.de","http://www.treis-karden.de","","Treis-Karden","RP","No","No","","","",""
"wieseth.de","http://wieseth.de","","Wieseth","BY","No","No","","","",""
"stadt-hofheim.de","http://www.stadt-hofheim.de","","Hofheim in Unterfranken","BY","No","No","","","",""
"sukow.de","http://sukow.de","","Sukow","MV","No","No","","","",""
"sarmersbach.de","http://sarmersbach.de","","Sarmersbach","RP","No","No","","","",""
"amt-woldegk.de","http://www.amt-woldegk.de","","Schönhausen","MV","Yes","No","","","",""
"oberaula.de","https://www.oberaula.de","","Oberaula","HE","No","Yes","Yes","Yes","",""
"ellwangen.de","http://www.ellwangen.de","","Ellwangen (Jagst)","BW","No","No","","","",""
"kuernbach.de","http://www.kuernbach.de","","Kürnbach","BW","No","No","","","",""
"reichenbach-steegen.de","http://reichenbach-steegen.de","","Reichenbach-Steegen","RP","No","Yes","No","No","",""
"muehlrosin.de","http://www.muehlrosin.de","","Mühl Rosin","MV","No","No","","","",""
"kellmuenz.de","http://www.kellmuenz.de","","Kellmünz an der Iller","BY","No","No","","","",""
"laubach-hunsrueck.de","http://www.laubach-hunsrueck.de","","Laubach","RP","No","No","","","",""
"bobenheim-roxheim.de","https://www.bobenheim-roxheim.de","","Bobenheim-Roxheim","RP","No","Yes","Yes","No","",""
"oberding.de","http://www.oberding.de","","Oberding","BY","Yes","No","","","",""
"schauenstein.de","http://www.schauenstein.de","","Schauenstein","BY","No","No","","","",""
"mittelbiberach.de","http://mittelbiberach.de","","Mittelbiberach","BW","No","No","","","",""
"gemeinde-inning.de","http://gemeinde-inning.de","","Inning am Holz","BY","No","No","","","",""
"heiligenroth.de","http://heiligenroth.de","","Heiligenroth","RP","No","No","","","",""
"marxzell.de","http://www.marxzell.de","","Marxzell","BW","No","No","","","",""
"utzenfeld.de","http://www.utzenfeld.de","","Utzenfeld","BW","No","No","","","",""
"nordhofen.de","http://nordhofen.de","","Nordhofen","RP","No","No","","","",""
"waidhofen.de","http://www.waidhofen.de","","Waidhofen","BY","Yes","No","","","",""
"weilbach.de","https://www.weilbach.de","","Weilbach","BY","No","Yes","Yes","No","",""
"rieden.com","http://www.rieden.com","","Rieden","BY","Yes","No","","","",""
"buchholz.de","https://www.buchholz.de","","Buchholz in der Nordheide","NI","No","Yes","Yes","Yes","",""
"petersdorf.de","http://www.petersdorf.de","","Petersdorf","BY","No","No","","","",""
"wulkenzin.de","http://wulkenzin.de","","Wulkenzin","MV","No","No","","","",""
"gutenzell-huerbel.de","http://www.gutenzell-huerbel.de","","Gutenzell-Hürbel","BW","No","No","","","",""
"kaltenborn-eifel.de","http://www.kaltenborn-eifel.de","","Kaltenborn","RP","No","No","","","",""
"ratshausen.com","http://www.ratshausen.com","","Ratshausen","BW","Yes","No","","","",""
"eckelsheim.de","http://eckelsheim.de","","Eckelsheim","RP","No","No","","","",""
"vg-wasungen.de","http://www.vg-wasungen.de","","Unterkatz","TH","No","No","","","",""
"boesingen.de","http://www.boesingen.de","","Bösingen","BW","No","Yes","No","No","",""
"grosselfingen.de","http://www.grosselfingen.de","","Grosselfingen","BW","No","No","","","",""
"fuerstenau.de","http://www.fuerstenau.de","","Bippen","NI","No","No","","","",""
"walsdorf-vulkaneifel.de","http://walsdorf-vulkaneifel.de","","Walsdorf","RP","No","No","","","",""
"iggensbach.de","http://www.iggensbach.de","","Iggensbach","BY","No","No","","","",""
"lich.de","http://lich.de","","Lich","HE","No","No","","","",""
"mannebach-eifel.de","http://mannebach-eifel.de","","Mannebach","RP","No","No","","","",""
"winnerath.de","http://winnerath.de","","Winnerath","RP","No","No","","","",""
"brunsmark.de","http://brunsmark.de","","Brunsmark","SH","No","No","","","",""
"schneeberg.de","http://www.schneeberg.de","","Schneeberg","SN","No","No","","","",""
"viernau.de","http://viernau.de","","Unterschönau","TH","No","No","","","",""
"gemeinde-mauer.de","http://www.gemeinde-mauer.de","","Mauer","BW","No","No","","","",""
"burgen-bernkastel.de","http://burgen-bernkastel.de","","Burgen","RP","No","No","","","",""
"stadt-oebisfelde-weferlingen.de","http://www.stadt-oebisfelde-weferlingen.de","","Oebisfelde-Weferlingen","ST","No","No","","","",""
"albbruck.de","http://www.albbruck.de","","Albbruck","BW","No","No","","","",""
"sankt-maergen.de","http://sankt-maergen.de","","St. Märgen","BW","No","No","","","",""
"neuenburg.de","http://www.neuenburg.de","","Neuenburg am Rhein","BW","No","No","","","",""
"welkenbach-ww.de","http://welkenbach-ww.de","","Welkenbach","RP","No","No","","","",""
"stadt-hallenberg.de","http://stadt-hallenberg.de","","Hallenberg","NW","No","No","","","",""
"doerth.de","http://doerth.de","","Dörth","RP","No","No","","","",""
"coburg.de","http://www.coburg.de","","Coburg","BY","No","No","","","",""
"lohne.de","http://www.lohne.de","","Lohne (Oldenburg)","NI","No","No","","","",""
"kassel.de","http://kassel.de","","Kassel","HE","No","No","","","",""
"hessdorf.de","http://www.hessdorf.de","","Heßdorf","BY","No","No","","","",""
"trebgast.de","http://www.trebgast.de","","Trebgast","BY","No","No","","","",""
"eusserthal.de","http://eusserthal.de","","Eußerthal","RP","No","No","","","",""
"soelden.de","http://www.soelden.de","","Sölden","BW","No","No","","","",""
"buechel.de","http://www.buechel.de","","Büchel","RP","No","No","","","",""
"biedenkopf.de","http://www.biedenkopf.de","","Biedenkopf","HE","No","No","","","",""
"bielefeld.de","http://www.bielefeld.de","","Bielefeld","NW","No","Yes","No","No","",""
"hofbieber-tourismus.de","http://www.hofbieber-tourismus.de","","Hofbieber","HE","No","No","","","",""
"neukirchen-nordfriesland.de","http://neukirchen-nordfriesland.de","","Neukirchen","SH","No","No","","","",""
"trimport.de","http://www.trimport.de","","Trimport","RP","Yes","No","","","",""
"bad-neuenahr-ahrweiler.de","https://www.bad-neuenahr-ahrweiler.de","","Bad Neuenahr-Ahrweiler","RP","No","Yes","Yes","No","",""
"immenstaad.de","http://www.immenstaad.de","","Immenstaad am Bodensee","BW","No","No","","","",""
"kratzeburg.de","http://www.kratzeburg.de","","Kratzeburg","MV","Yes","No","","","",""
"steinbach-hallenberg.de","http://steinbach-hallenberg.de","","Steinbach-Hallenberg","TH","No","No","","","",""
"boehmenkirch.de","http://www.boehmenkirch.de","","Böhmenkirch","BW","No","No","","","",""
"arnbruck.de","http://www.arnbruck.de","","Arnbruck","BY","No","No","","","",""
"coesfeld.de","http://www.coesfeld.de","","Coesfeld","NW","No","Yes","No","No","",""
"altdorf-pfalz.de","http://www.altdorf-pfalz.de","","Altdorf (Pfalz)","RP","No","No","","","",""
"dummerstorf.de","http://dummerstorf.de","","Dummerstorf","MV","No","No","","","",""
"grossneuhausen.net","http://www.grossneuhausen.net","","Großneuhausen","TH","Yes","No","","","",""
"schaufling.de","http://www.schaufling.de","","Schaufling","BY","Yes","No","","","",""
"offenbach.de","http://www.offenbach.de","","Offenbach am Main","HE","No","Yes","No","No","",""
"weiskirchen.de","https://weiskirchen.de","","Weiskirchen","SL","No","Yes","Yes","No","",""
"sersheim.de","http://www.sersheim.de","","Sersheim","BW","No","Yes","No","No","",""
"alzey-land.de","http://www.alzey-land.de","","Kettenheim","RP","No","No","","","",""
"sallgast.de","http://www.sallgast.de","","Sallgast","BB","No","No","","","",""
"stadt-nebra.de","http://www.stadt-nebra.de","","Nebra","ST","No","No","","","",""
"schillingen.de","http://www.schillingen.de","","Schillingen","RP","No","No","","","",""
"dennheritz.de","http://www.dennheritz.de","","Dennheritz","SN","Yes","No","","","",""
"hochspeyer.eu","http://hochspeyer.eu","","Hochspeyer","RP","No","No","","","",""
"namborn.de","https://namborn.de","","Namborn","SL","No","Yes","Yes","No","",""
"mettmann.de","http://mettmann.de","","Mettmann","NW","No","Yes","No","No","",""
"lohmen.de","http://www.lohmen.de","","Lohmen","MV","No","No","","","",""
"muelverstedt.net","http://www.muelverstedt.net","","Mülverstedt","TH","No","No","","","",""
"angelroda.de","http://www.angelroda.de","","Angelroda","TH","Yes","No","","","",""
"gelbensande.de","http://gelbensande.de","","Gelbensande","MV","No","No","","","",""
"lommatzsch.de","http://www.lommatzsch.de","","Lommatzsch","SN","No","No","","","",""
"hattenhofen-haspelmoor.de","http://hattenhofen-haspelmoor.de","","Hattenhofen","BY","No","No","","","",""
"ralingen.de","http://ralingen.de","","Ralingen","RP","No","No","","","",""
"weisenheim.de","http://weisenheim.de","","Weisenheim am Berg","RP","No","No","","","",""
"eitorf.de","http://eitorf.de","","Eitorf","NW","No","No","","","",""
"immenhausen.de","https://www.immenhausen.de","","Immenhausen","HE","No","Yes","Yes","Yes","",""
"kirchberg-jagst.de","http://www.kirchberg-jagst.de","","Kirchberg an der Jagst","BW","No","No","","","",""
"wehrheim.de","http://www.wehrheim.de","","Wehrheim","HE","No","No","","","",""
"tauberrettersheim.de","http://www.tauberrettersheim.de","","Tauberrettersheim","BY","No","No","","","",""
"neuhemsbach.de","http://neuhemsbach.de","","Neuhemsbach","RP","No","No","","","",""
"eiselfing.eu","http://www.eiselfing.eu","","Eiselfing","BY","Yes","No","","","",""
"gemeinde-laudenbach.de","http://www.gemeinde-laudenbach.de","","Laudenbach","BW","No","No","","","",""
"hemau.de","http://hemau.de","","Hemau","BY","No","No","","","",""
"woltersdorf-schleuse.de","https://www.woltersdorf-schleuse.de","","Woltersdorf","BB","No","Yes","Yes","Yes","",""
"villenbach.de","http://www.villenbach.de","","Villenbach","BY","Yes","No","","","",""
"hauenstein-pfalz.de","http://www.hauenstein-pfalz.de","","Darstein","RP","No","No","","","",""
"jessen.de","http://www.jessen.de","","Jessen","ST","No","No","","","",""
"dausenau.de","http://www.dausenau.de","","Dausenau","RP","Yes","No","","","",""
"thaining.de","https://www.thaining.de","","Thaining","BY","No","Yes","Yes","No","",""
"sprockhoevel.de","http://www.sprockhoevel.de","","Sprockhövel","NW","No","Yes","No","No","",""
"unna.de","http://www.unna.de","","Unna","NW","No","No","","","",""
"hamfelde-stormarn.de","http://www.hamfelde-stormarn.de","","Hamfelde","SH","No","No","","","",""
"spiekeroog.de","http://www.spiekeroog.de","","Spiekeroog","NI","No","No","","","",""
"vg-hanstein-rusteberg.de","http://vg-hanstein-rusteberg.de","","Rustenfelde","TH","No","No","","","",""
"steinach.de","http://www.steinach.de","","Steinach","BW","No","No","","","",""
"loitzendorf.de","http://www.loitzendorf.de","","Loitzendorf","BY","No","No","","","",""
"neckargerach.de","http://www.neckargerach.de","","Neckargerach","BW","No","No","","","",""
"brohltal.de","http://www.brohltal.de","","Galenberg","RP","Yes","No","","","",""
"gomaringen.de","http://www.gomaringen.de","","Gomaringen","BW","No","No","","","",""
"pruem.de","http://pruem.de","","Prüm","RP","No","No","","","",""
"painten.de","http://www.painten.de","","Painten","BY","No","No","","","",""
"sg-oderwald.de","http://sg-oderwald.de","","Ohrum","NI","No","No","","","",""
"bad-muender.de","http://bad-muender.de","","Bad Münder am Deister","NI","No","No","","","",""
"kriebstein.de","http://kriebstein.de","","Kriebstein","SN","No","No","","","",""
"vg-schlotheim.de","http://www.vg-schlotheim.de","","Bothenheilingen","TH","No","No","","","",""
"posterstein.de","http://posterstein.de","","Posterstein","TH","No","No","","","",""
"ronsberg.de","http://ronsberg.de","","Ronsberg","BY","No","No","","","",""
"matzenbach.de","http://matzenbach.de","","Matzenbach","RP","No","No","","","",""
"moormerland.conne.net","http://moormerland.conne.net","","Moormerland","NI","No","No","","","",""
"assamstadt.de","http://assamstadt.de","","Assamstadt","BW","No","No","","","",""
"hettenshausen.de","http://www.hettenshausen.de","","Hettenshausen","BY","Yes","No","","","",""
"oberes-schlichemtal.de","http://oberes-schlichemtal.de","","Dautmergen","BW","No","No","","","",""
"hohnhorst-online.de","http://www.hohnhorst-online.de","","Hohnhorst","NI","No","No","","","",""
"bad-koetzting.de","http://www.bad-koetzting.de","","Bad Kötzting","BY","No","No","","","",""
"gueckingen.de","http://gueckingen.de","","Gückingen","RP","No","No","","","",""
"grossmaischeid.de","http://grossmaischeid.de","","Großmaischeid","RP","No","No","","","",""
"niederviehbach.de","http://niederviehbach.de","","Niederviehbach","BY","No","No","","","",""
"nordrach.de","http://www.nordrach.de","","Nordrach","BW","No","No","","","",""
"muehlhausen-kraichgau.de","http://www.muehlhausen-kraichgau.de","","Mühlhausen","BW","No","No","","","",""
"boxberg-ol.de","http://boxberg-ol.de","","Boxberg/O.L.","SN","No","No","","","",""
"heuweiler.de","http://heuweiler.de","","Heuweiler","BW","No","No","","","",""
"baltmannsweiler.de","http://baltmannsweiler.de","","Baltmannsweiler","BW","No","No","","","",""
"dachau.de","http://www.dachau.de","","Dachau","BY","No","Yes","No","No","",""
"meinerzhagen.de","http://www.meinerzhagen.de","","Meinerzhagen","NW","No","No","","","",""
"gemeinde-ballstaedt.de","http://gemeinde-ballstaedt.de","","Ballstädt","TH","No","No","","","",""
"aurach.de","http://www.aurach.de","","Aurach","BY","No","No","","","",""
"triptis.de","http://triptis.de","","Dreitzsch","TH","No","No","","","",""
"voehringen.de","http://voehringen.de","","Vöhringen","BY","No","No","","","",""
"maerkische-heide.de","http://maerkische-heide.de","","Märkische Heide","BB","No","No","","","",""
"stadt-kloetze.de","https://www.stadt-kloetze.de","","Klötze","ST","No","Yes","Yes","Yes","",""
"netphen.de","https://www.netphen.de","","Netphen","NW","No","Yes","Yes","No","",""
"schernfeld.de","http://www.schernfeld.de","","Schernfeld","BY","Yes","No","","","",""
"xn--endschtz-c6a.de","http://xn--endschtz-c6a.de","","Endschütz","TH","No","No","","","",""
"toeging.de","http://toeging.de","","Töging am Inn","BY","No","No","","","",""
"dahner-felsenland.net","http://www.dahner-felsenland.net","","Hirschthal","RP","No","No","","","",""
"stavern.de","http://www.stavern.de","","Stavern","NI","Yes","No","","","",""
"ditzingen.de","http://www.ditzingen.de","","Ditzingen","BW","No","No","","","",""
"bobenheim.de","http://bobenheim.de","","Bobenheim am Berg","RP","No","No","","","",""
"karlstadt.de","http://www.karlstadt.de","","Karlstadt","BY","No","No","","","",""
"vg-herrstein.de","http://www.vg-herrstein.de","","Weiden","RP","No","No","","","",""
"hofstetten-schwarzwald.de","http://hofstetten-schwarzwald.de","","Hofstetten","BW","No","No","","","",""
"schoenau-pfalz.de","http://schoenau-pfalz.de","","Schönau","RP","No","No","","","",""
"obrigheim.de","http://www.obrigheim.de","","Obrigheim","BW","No","No","","","",""
"siefersheim.de","http://www.siefersheim.de","","Siefersheim","RP","No","No","","","",""
"stephansposching.de","http://stephansposching.de","","Stephansposching","BY","No","No","","","",""
"bad-heilbrunn.de","http://www.bad-heilbrunn.de","","Bad Heilbrunn","BY","No","No","","","",""
"westheim-pfalz.de","http://www.westheim-pfalz.de","","Westheim","RP","No","No","","","",""
"hartmannsdorf.info","http://www.hartmannsdorf.info","","Hartmannsdorf","TH","No","No","","","",""
"leverkusen.de","http://www.leverkusen.de","","Leverkusen","NW","No","Yes","No","No","",""
"morsbach.de","http://www.morsbach.de","","Morsbach","NW","No","No","","","",""
"arnstein-online.de","http://arnstein-online.de","","Arnstein","BY","No","No","","","",""
"kreuztal.de","http://www.kreuztal.de","","Kreuztal","NW","No","Yes","No","No","",""
"hatten.de","http://hatten.de","","Hatten","NI","No","No","","","",""
"luetau.de","http://luetau.de","","Lütau","SH","No","No","","","",""
"lalling.de","http://lalling.de","","Lalling","BY","No","No","","","",""
"ingolstadt.de","http://www.ingolstadt.de","","Ingolstadt","BY","No","Yes","No","No","",""
"alesheim.de","http://alesheim.de","","Alesheim","BY","No","No","","","",""
"stadt-sternberg.de","http://stadt-sternberg.de","","Sternberg","MV","No","No","","","",""
"schwanau.de","http://www.schwanau.de","","Schwanau","BW","No","No","","","",""
"amt-hoernerkirchen.de","http://www.amt-hoernerkirchen.de","","Osterhorn","SH","Yes","No","","","",""
"igling.de","http://igling.de","","Igling","BY","No","No","","","",""
