Domain Name,Domain Type,Agency,City,State
leun.de,City,Non-Federal Agency,Leun,HE
lich.de,City,Non-Federal Agency,Lich,HE
liederbach.eu,City,Non-Federal Agency,Liederbach am Taunus,HE
limeshain.de,City,Non-Federal Agency,Limeshain,HE
linden.de,City,Non-Federal Agency,Linden,HE
lindenfels.de,City,Non-Federal Agency,Lindenfels,HE
linsengericht.de,City,Non-Federal Agency,Linsengericht,HE
lohfelden.de,City,Non-Federal Agency,Lohfelden,HE
lohra.de,City,Non-Federal Agency,Lohra,HE
lollar.de,City,Non-Federal Agency,Lollar,HE
lorsch.de,City,Non-Federal Agency,Lorsch,HE
losheim-stausee.de,City,Non-Federal Agency,Losheim am See,SL
lossatal.eu,City,Non-Federal Agency,Lossatal,SN
ludwigsau.de,City,Non-Federal Agency,Ludwigsau,HE
luetzelbach.de,City,Non-Federal Agency,Lützelbach,HE
mainhausen.de,City,Non-Federal Agency,Mainhausen,HE
maintal.de,City,Non-Federal Agency,Maintal,HE
malsfeld.eu,City,Non-Federal Agency,Malsfeld,HE
mandelbachtal.de,City,Non-Federal Agency,Mandelbachtal,SL
mannheim.de,City,Non-Federal Agency,Mannheim,BW
marktflecken-villmar.de,City,Non-Federal Agency,Villmar,HE
markt-indersdorf.de,City,Non-Federal Agency,Markt Indersdorf,BY
marpingen.de,City,Non-Federal Agency,Marpingen,SL
melsungen.de,City,Non-Federal Agency,Melsungen,HE
mengerskirchen.de,City,Non-Federal Agency,Mengerskirchen,HE
merchweiler.de,City,Non-Federal Agency,Merchweiler,SL
merzig.de,City,Non-Federal Agency,Merzig,SL
messel.de,City,Non-Federal Agency,Messel,HE
mettlach.de,City,Non-Federal Agency,Mettlach,SL
meura.de,City,Non-Federal Agency,Meura,TH
michelstadt.de,City,Non-Federal Agency,Michelstadt,HE
mittenaar.de,City,Non-Federal Agency,Mittenaar,HE
modautal.de,City,Non-Federal Agency,Modautal,HE
moenchengladbach.de,City,Non-Federal Agency,Mönchengladbach,NW
moerfelden-walldorf.de,City,Non-Federal Agency,Mörfelden-Walldorf,HE
moerlenbach.de,City,Non-Federal Agency,Mörlenbach,HE
monschau.de,City,Non-Federal Agency,Monschau,NW
morschen.de,City,Non-Federal Agency,Morschen,HE
mossautal.de,City,Non-Federal Agency,Mossautal,HE
muehlheim.de,City,Non-Federal Agency,Mühlheim am Main,HE
muehltal.de,City,Non-Federal Agency,Mühltal,HE
muenster.de,City,Non-Federal Agency,Münster,NW
muenster-hessen.de,City,Non-Federal Agency,Münster,HE
muenzenberg.de,City,Non-Federal Agency,Münzenberg,HE
nalbach.de,City,Non-Federal Agency,Nalbach,SL
namborn.de,City,Non-Federal Agency,Namborn,SL
nattheim.de,City,Non-Federal Agency,Nattheim,BW
nauheim.de,City,Non-Federal Agency,Nauheim,HE
neckarsteinach.com,City,Non-Federal Agency,Neckarsteinach,HE
nentershausen.de,City,Non-Federal Agency,Nentershausen,HE
neuberg.eu,City,Non-Federal Agency,Neuberg,HE
neu-eichenberg.de,City,Non-Federal Agency,Neu-Eichenberg,HE
neu-isenburg.de,City,Non-Federal Agency,Neu-Isenburg,HE
neukirchen.de,City,Non-Federal Agency,Neukirchen,HE
neumuenster.de,City,Non-Federal Agency,Neumünster,SH
neunkirchen.de,City,Non-Federal Agency,Neunkirchen,SL
neustadt.eu,City,Non-Federal Agency,Neustadt an der Weinstraße,RP
nhf.de,City,Non-Federal Agency,Neuhof,HE
niddatal.de,City,Non-Federal Agency,Niddatal,HE
niedenstein.de,City,Non-Federal Agency,Niedenstein,HE
niederaula.de,City,Non-Federal Agency,Niederaula,HE
niederdorfelden.de,City,Non-Federal Agency,Niederdorfelden,HE
niedernhausen.de,City,Non-Federal Agency,Niedernhausen,HE
nieste.de,City,Non-Federal Agency,Nieste,HE
niestetal.de,City,Non-Federal Agency,Niestetal,HE
nuesttal.de,City,Non-Federal Agency,Nüsttal,HE
oberaula.de,City,Non-Federal Agency,Oberaula,HE
ober-moerlen.de,City,Non-Federal Agency,Ober-Mörlen,HE
ober-ramstadt.de,City,Non-Federal Agency,Ober-Ramstadt,HE
oberthal.de,City,Non-Federal Agency,Oberthal,SL
obertshausen.de,City,Non-Federal Agency,Obertshausen,HE
oberweser.de,City,Non-Federal Agency,Oberweser,HE
odelzhausen.de,City,Non-Federal Agency,Odelzhausen,BY
oestrich-winkel.de,City,Non-Federal Agency,Oestrich-Winkel,HE
ortenberg.net,City,Non-Federal Agency,Ortenberg,HE
ottendorf.de,City,Non-Federal Agency,Ottendorf,SH
ottrau.de,City,Non-Federal Agency,Ottrau,HE
ottweiler.de,City,Non-Federal Agency,Ottweiler,SL
otzberg.de,City,Non-Federal Agency,Otzberg,HE
peitz.de,City,Non-Federal Agency,Peitz,BB
penzlin.de,City,Non-Federal Agency,Penzlin,MV
penzliner-land.de,City,Non-Federal Agency,Kuckssee,MV
perl-mosel.de,City,Non-Federal Agency,Perl,SL
petersberg.de,City,Non-Federal Agency,Petersberg,HE
petershausen.de,City,Non-Federal Agency,Petershausen,BY
pfungstadt.de,City,Non-Federal Agency,Pfungstadt,HE
philippsthal.de,City,Non-Federal Agency,Philippsthal (Werra),HE
pirmasens.de,City,Non-Federal Agency,Pirmasens,RP
pohlheim.de,City,Non-Federal Agency,Pohlheim,HE
poppenhausen-wasserkuppe.de,City,Non-Federal Agency,Poppenhausen (Wasserkuppe),HE
puettlingen.de,City,Non-Federal Agency,Püttlingen,SL
quierschied.de,City,Non-Federal Agency,Quierschied,SL
rabenau.de,City,Non-Federal Agency,Rabenau,HE
ranstadt.de,City,Non-Federal Agency,Ranstadt,HE
rasdorf.de,City,Non-Federal Agency,Rasdorf,HE
rathaus-willingen.de,City,Non-Federal Agency,Willingen (Upland),HE
raunheim.de,City,Non-Federal Agency,Raunheim,HE
rauschenberg.de,City,Non-Federal Agency,Rauschenberg,HE
ravensburg.de,City,Non-Federal Agency,Ravensburg,BW
rehlingen-siersburg.de,City,Non-Federal Agency,Rehlingen-Siersburg,SL
reichelsheim.de,City,Non-Federal Agency,Reichelsheim (Odenwald),HE
reinhardshagen.de,City,Non-Federal Agency,Reinhardshagen,HE
reinheim.de,City,Non-Federal Agency,Reinheim,HE
reutlingen.de,City,Non-Federal Agency,Reutlingen,BW
riedstadt.de,City,Non-Federal Agency,Riedstadt,HE
riegelsberg.eu,City,Non-Federal Agency,Riegelsberg,SL
rimbach-odw.de,City,Non-Federal Agency,Rimbach,HE
ringgau.de,City,Non-Federal Agency,Ringgau,HE
rodgau.de,City,Non-Federal Agency,Rodgau,HE
roedermark.de,City,Non-Federal Agency,Rödermark,HE
rohrbach-schwarzatal.de,City,Non-Federal Agency,Rohrbach,TH
romrod.de,City,Non-Federal Agency,Romrod,HE
ronneburg.eu,City,Non-Federal Agency,Ronneburg,HE
ronshausen.de,City,Non-Federal Agency,Ronshausen,HE
rosbach-hessen.de,City,Non-Federal Agency,Rosbach vor der Höhe,HE
rossdorf.de,City,Non-Federal Agency,Roßdorf,HE
rotenburg.de,City,Non-Federal Agency,Rotenburg an der Fulda,HE
rothenberg-odw.eu,City,Non-Federal Agency,Rothenberg,HE
rudolstadt.de,City,Non-Federal Agency,Rudolstadt,TH
ruedesheim.de,City,Non-Federal Agency,Rüdesheim am Rhein,HE
runkel-lahn.de,City,Non-Federal Agency,Runkel,HE
saarbruecken.de,City,Non-Federal Agency,Saarbrücken,SL
saarlouis.de,City,Non-Federal Agency,Saarlouis,SL
saarwellingen.de,City,Non-Federal Agency,Saarwellingen,SL
sankt-wendel.de,City,Non-Federal Agency,St. Wendel,SL
schaafheim.de,City,Non-Federal Agency,Schaafheim,HE
schenklengsfeld.de,City,Non-Federal Agency,Schenklengsfeld,HE
schifferstadt.de,City,Non-Federal Agency,Schifferstadt,RP
schiffweiler.de,City,Non-Federal Agency,Schiffweiler,SL
schlangenbad.de,City,Non-Federal Agency,Schlangenbad,HE
schlitz.de,City,Non-Federal Agency,Schlitz,HE
schluechtern.de,City,Non-Federal Agency,Schlüchtern,HE
schmelz.de,City,Non-Federal Agency,Schmelz,SL
schoeffengrund.de,City,Non-Federal Agency,Schöffengrund,HE
schoeneck.de,City,Non-Federal Agency,Schöneck,HE
schotten.de,City,Non-Federal Agency,Schotten,HE
schrecksbach.de,City,Non-Federal Agency,Schrecksbach,HE
schwalbach.de,City,Non-Federal Agency,Schwalbach am Taunus,HE
schwalmstadt.de,City,Non-Federal Agency,Schwalmstadt,HE
schwalmtal-hessen.de,City,Non-Federal Agency,Schwalmtal,HE
schwarzenborn.de,City,Non-Federal Agency,Schwarzenborn,HE
seebad-trassenheide.de,City,Non-Federal Agency,Trassenheide,MV
seeheim-jugenheim.de,City,Non-Federal Agency,Seeheim-Jugenheim,HE
seligenstadt.de,City,Non-Federal Agency,Seligenstadt,HE
selters-taunus.de,City,Non-Federal Agency,Selters (Taunus),HE
sensbachtal.de,City,Non-Federal Agency,Sensbachtal,HE
siegbach.de,City,Non-Federal Agency,Siegbach,HE
sinntal.de,City,Non-Federal Agency,Sinntal,HE
soehrewald.de,City,Non-Federal Agency,Söhrewald,HE
solms.de,City,Non-Federal Agency,Solms,HE
sommersdorf.de,City,Non-Federal Agency,Sommersdorf,ST
sontheim-brenz.de,City,Non-Federal Agency,Sontheim an der Brenz,BW
sontra.de,City,Non-Federal Agency,Sontra,HE
spangenberg.de,City,Non-Federal Agency,Spangenberg,HE
speyer.de,City,Non-Federal Agency,Speyer,RP
spiesen-elversberg.info,City,Non-Federal Agency,Spiesen-Elversberg,SL
stadtallendorf.de,City,Non-Federal Agency,Stadtallendorf,HE
stadt-brueel.de,City,Non-Federal Agency,Brüel,MV
stadt-buedingen.de,City,Non-Federal Agency,Büdingen,HE
stadt-butzbach.de,City,Non-Federal Agency,Butzbach,HE
stadt-grebenstein.de,City,Non-Federal Agency,Grebenstein,HE
stadt-kastellaun.de,City,Non-Federal Agency,Michelbach,RP
stadt-kirtorf.de,City,Non-Federal Agency,Kirtorf,HE
stadt-lichtenfels.de,City,Non-Federal Agency,Lichtenfels,HE
stadt-liebenau.de,City,Non-Federal Agency,Liebenau,HE
stadt-lorch-rheingau.de,City,Non-Federal Agency,Lorch,HE
stadtludwigslust.de,City,Non-Federal Agency,Ludwigslust,MV
stadt-nebra.de,City,Non-Federal Agency,Nebra,ST
stadt-neustadt-hessen.de,City,Non-Federal Agency,Neustadt (Hessen),HE
stadt-reichelsheim.de,City,Non-Federal Agency,Reichelsheim (Wetterau),HE
stadt-steinbach.de,City,Non-Federal Agency,Steinbach (Taunus),HE
stadt-sulzbach.de,City,Non-Federal Agency,Sulzbach/Saar,SL
stadt-waechtersbach.de,City,Non-Federal Agency,Wächtersbach,HE
staufenberg.de,City,Non-Federal Agency,Staufenberg,HE
stavenhagen.de,City,Non-Federal Agency,Stavenhagen,MV
steinau.de,City,Non-Federal Agency,Steinau an der Straße,HE
steinheim.com,City,Non-Federal Agency,Steinheim am Albuch,BW
stockstadt.de,City,Non-Federal Agency,Stockstadt am Rhein,HE
stralsund.de,City,Non-Federal Agency,Stralsund,MV
suedeifelinfo.de,City,Non-Federal Agency,Irrel,RP
suhltrifft.de,City,Non-Federal Agency,Suhl,TH
sulzbach-taunus.de,City,Non-Federal Agency,Sulzbach (Taunus),HE
tann-rhoen.de,City,Non-Federal Agency,Tann (Rhön),HE
taunusstein.de,City,Non-Federal Agency,Taunusstein,HE
tholey.de,City,Non-Federal Agency,Tholey,SL
torgau.eu,City,Non-Federal Agency,Torgau,SN
tourismus.hochheim.de,City,Non-Federal Agency,Hochheim am Main,HE
trebur.de,City,Non-Federal Agency,Trebur,HE
trendelburg.de,City,Non-Federal Agency,Trendelburg,HE
twistetal.de,City,Non-Federal Agency,Twistetal,HE
ueberherrn.de,City,Non-Federal Agency,Überherrn,SL
ulm.de,City,Non-Federal Agency,Ulm,BW
ulrichstein.de,City,Non-Federal Agency,Ulrichstein,HE
vellmar.de,City,Non-Federal Agency,Vellmar,HE
vg-altenkirchen.de,City,Non-Federal Agency,Altenkirchen (Westerwald),RP
vg-nesseaue.de,City,Non-Federal Agency,Pferdingsleben,TH
viernheim.de,City,Non-Federal Agency,Viernheim,HE
voehl.de,City,Non-Federal Agency,Vöhl,HE
voelklingen.de,City,Non-Federal Agency,Völklingen,SL
volkmarsen.de,City,Non-Federal Agency,Volkmarsen,HE
wabern.de,City,Non-Federal Agency,Wabern,HE
wadgassen.de,City,Non-Federal Agency,Wadgassen,SL
wahlsburg.de,City,Non-Federal Agency,Wahlsburg,HE
waldbrunn.de,City,Non-Federal Agency,Waldbrunn (Westerwald),HE
waldeck-stadt.de,City,Non-Federal Agency,Waldeck,HE
waldkappel.de,City,Non-Federal Agency,Waldkappel,HE
wald-michelbach.de,City,Non-Federal Agency,Wald-Michelbach,HE
waldsolms.de,City,Non-Federal Agency,Waldsolms,HE
walluf.de,City,Non-Federal Agency,Walluf,HE
wanfried.de,City,Non-Federal Agency,Wanfried,HE
wangerland-online.de,City,Non-Federal Agency,Wangerland,NI
wanzleben-boerde.de,City,Non-Federal Agency,Wanzleben-Börde,ST
wehretal.de,City,Non-Federal Agency,Wehretal,HE
wehrheim.de,City,Non-Federal Agency,Wehrheim,HE
weilburg.de,City,Non-Federal Agency,Weilburg,HE
weimar.de,City,Non-Federal Agency,Weimar,TH
weimar-lahn.de,City,Non-Federal Agency,Weimar (Lahn),HE
weiskirchen.de,City,Non-Federal Agency,Weiskirchen,SL
weissenfels.de,City,Non-Federal Agency,Weißenfels,ST
weisswasser.de,City,Non-Federal Agency,Weißwasser/O.L.,SN
weiterstadt.de,City,Non-Federal Agency,Weiterstadt,HE
wettenberg.de,City,Non-Federal Agency,Wettenberg,HE
wetzlar.de,City,Non-Federal Agency,Wetzlar,HE
wildeck.de,City,Non-Federal Agency,Wildeck,HE
willingshausen.de,City,Non-Federal Agency,Willingshausen,HE
wilsecker.de,City,Non-Federal Agency,Wilsecker,RP
woelfersheim.de,City,Non-Federal Agency,Wölfersheim,HE
woellstadt.de,City,Non-Federal Agency,Wöllstadt,HE
wohratal.de,City,Non-Federal Agency,Wohratal,HE
wolfhagen.de,City,Non-Federal Agency,Wolfhagen,HE
worms.de,City,Non-Federal Agency,Worms,RP
zierenberg.org,City,Non-Federal Agency,Zierenberg,HE
zwingenberg.de,City,Non-Federal Agency,Zwingenberg,HE
