Domain Name,Domain Type,Agency,City,State
der-mindestlohn-wirkt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
destatis.de,Federal Agency,Statistisches Bundesamt,,
deutscher-klimaatlas.de,Federal Agency,Deutscher Wetterdienst,,
deutscher-wetterdienst.com,Federal Agency,Deutscher Wetterdienst,,
deutscher-wetterdienst.de,Federal Agency,Deutscher Wetterdienst,,
deutscher-wetterdienst.eu,Federal Agency,Deutscher Wetterdienst,,
deutsches-klimaportal.de,Federal Agency,Deutscher Wetterdienst,,
deutschland-wird-inklusiv.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
dienstleistungszentrum.de,Federal Agency,Bundesverwaltungsamt,,
dienstreisezentrum.de,Federal Agency,Bundesverwaltungsamt,,
die-rente.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
die-rente.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
die-rente.net,Federal Agency,Bundesministerium für Arbeit und Soziales,,
die-rente.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
digitaleautobahn.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
digitales-testfeld-autobahn.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
digitalestestfeld.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
dimdi.de,Federal Agency,Deutsches Institut für Medizinische Dokumentation und Information,,
d-klip.de,Federal Agency,Deutscher Wetterdienst,,
doi-de.net,Federal Agency,Bundesverwaltungsamt,,
doi-sec-de.net,Federal Agency,Bundesverwaltungsamt,,
dpma.de,Federal Agency,Deutsches Patent- und Markenamt,,
dsd.online,Federal Agency,Bundesverwaltungsamt,,
dsd-weltweit.de,Federal Agency,Bundesverwaltungsamt,,
dta9.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
dvdv.de,Federal Agency,Bundesverwaltungsamt,,
dwd.bund.de,Federal Agency,Deutscher Wetterdienst,,
dwd.de,Federal Agency,Deutscher Wetterdienst,,
dwd.eu,Federal Agency,Deutscher Wetterdienst,,
dwd-shop.de,Federal Agency,Deutscher Wetterdienst,,
dwd-shop.eu,Federal Agency,Deutscher Wetterdienst,,
eba.bund.de,Federal Agency,Eisenbahn-Bundesamt,,
einfach-leichte-sprache.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
einfachteilhaben.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
einfachteilhaben.mobi,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--einsatzfrarbeit-6vb.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
einsatzfuerarbeit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
energie-fuer-morgen.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
equal.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esa-cloud-cci.eu,Federal Agency,Deutscher Wetterdienst,,
esa-cloud-cci.info,Federal Agency,Deutscher Wetterdienst,,
esa-cloud-cci.net,Federal Agency,Deutscher Wetterdienst,,
esa-cloud-cci.org,Federal Agency,Deutscher Wetterdienst,,
esf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esf-foerderung.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esf-in-deutschland.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esf-meine-geschichte.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esf-programm.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fachkraefte-allianz.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fachkraefteoffensive.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fachkraeftewoche.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--fachkrfte-allianz-vqb.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--fachkrfteoffensive-qtb.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--fachkrftewoche-bib.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
favorit.de,Federal Agency,Bundesverwaltungsamt,,
federal-ministry-of-finance.de,Federal Agency,Bundesministerium der Finanzen,,
finanzforscher.de,Federal Agency,Bundesministerium der Finanzen,,
fli.bund.de,Federal Agency,"Friedrich-Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit",,
flugmet.de,Federal Agency,Deutscher Wetterdienst,,
flugmet.eu,Federal Agency,Deutscher Wetterdienst,,
flugwetter-beratung.de,Federal Agency,Deutscher Wetterdienst,,
flugwetter.de,Federal Agency,Deutscher Wetterdienst,,
flugwetter.eu,Federal Agency,Deutscher Wetterdienst,,
foerdern-und-fordern.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fondsheimkinder.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fons-civitatis.de,Federal Agency,Bundesverwaltungsamt,,
xn--frdern-und-fordern-d3b.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--freinlebenswertesland-8hc.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
